,,,,,,,,
,The role that the Character best excels in will be marked with ✩                                                        ,,,,,,,
,> > Weapons and Artifacts Info < <,,,,,,,
,,,,,,,,
,4 STAR,,,,,,,
,XINGQIU,ROLE,EQUIPMENT,,ARTIFACT STATS,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,"LOW ENERGY REQUIREMENTS
(OFF-FIELD DPS) ✩","1. Primordial Jade Cutter (5✩)
2. Mistsplitter Reforged (5✩)
3. Haran Geppaku Futsu (5✩) 
4. Light of Foliar Incision (5✩) 
5. Skyward Blade (5✩)
6. Summit Shaper (5✩)
7. Favonius Sword (4✩)
8. Festering Desire (4✩)*
~=  Sacrificial Sword [R3+] (4✩)*
~= Amenoma Kageuchi (4✩) 
~= Kagotsurube Isshin (4✩)
~= Harbinger of Dawn [R5] (3✩)*
9. Sapwood Blade (4✩)*
10. Sacrificial Sword [R1-R2] (4✩)*

","1. Emblem of Severed Fate (4)*
2. Noblesse Oblige (4)*
3. Nymph's Dream (4)
~= Noblesse Oblige (2) / 15% Hydro DMG Bonus set (2) / +18% ATK set (2) / Emblem of Severed Fate (2) [Choose Two]
4. Blizzard Strayer (4)*","Sands - Energy Recharge / ATK%*
Goblet - Hydro DMG
Circlet - Crit Rate / DMG","1. Crit Rate / DMG
2. ATK%
3. Energy Recharge
4. Elemental Mastery
5. Flat ATK

**Prioritize Energy Recharge first if you can't burst off cooldown","1. Burst
2. Skill
","Activating XQ's Elemental Skill or Elemental Burst applies Hydro to the on-field character with his shield. (Pyro in specific)

Cleansing Electro may take an additional switch for your character with the rain swords active, while Cryo would freeze you in place. 

It is typicially recommended to use Xingqiu's Elemental Skill before his Burst. However, if Xingqiu is Constellation four, you may choose to use his Elemental Skill after his Burst for the increased damage. This increases his Energy Recharge needs so it is not recommended to use unless you run Sacrificial Sword or use the book trick method which involves pausing the game by opening a menu for a second to allow him to collect the particles."
,,"HIGH ENERGY REQUIREMENTS
(OFF-FIELD DPS)","1. Primordial Jade Cutter (5✩)
2. Favonius Sword (4✩)
3. Mistsplitter Reforged (5✩)
4. Haran Geppaku Futsu (5✩)
5. Skyward Blade (5✩)
~= Light of Foliar Incision (5✩) 
~= Summit Shaper (5✩) 
~= Sacrificial Sword [R3+] (4✩)* 
7. Amenoma Kageuchi (4✩)
8. Festering Desire [R5] (4✩)
~= Kagotsurube Isshin (4✩)
~= Sapwood Blade (4✩)*
~= Sacrificial Sword [R1-R2] (4✩)",,,,,
,"NOTES


In-depth Guide
by
Quincy#6965","OFF-FIELD DPS
High and Low Energy Recharge Requirements depends on the amount of Energy Recharge your Xingqiu needs. Choose wisely based on the team he's in and how easily you can achieve Energy Recharge targets. Other Hydro characters and Energy Recharge based teammates like Raiden Shogun can help alleviate his energy requirements, as does his Constellation 6.

Regarding Weapon Choices:
The weapon rankings assume you are running enough Energy Recharge to get Xingqiu's burst up off cooldown. If you are not, select an Energy Recharge weapon from this list.
Sacrificial Sword [R3+]: This weapon is extremely inconsistent and extends rotation lengths leading to an overall loss in DPS. This weapon does become more useful if Xingqiu is not the only hydro character on the team.
Harbinger of Dawn [R5]: At [C6], if you can consistently keep the passive active, this has the potential to rival Sacrificial Sword [R3+]
Sapwood Blade: This weapon can be especially useful as a support weapon in Dendro based teams.

Big thanks to Quincy#6965 for helping us with the weapon calculations.

Regarding Artifact Sets:
Emblem of Severed Fate (4): This set falls off in terms of damage if Xingqiu has less than 130% Energy Recharge.
Noblesse Oblige (4): Offers party-wide ATK boost, you can use this set on Xingqiu if nobody else on the party is able to use it better. If someone else on the team already has Noblesse Oblige (4), Noblesse Oblige (4) should not be used.
Blizzard Strayer (4): This set is only recommended on a freeze team to optimize Xingqiu's stats since he can mildly disregard Crit Rate and build Crit Damage instead for more damage output. Despite it outperforming Emblem of Severed Fate (4) within this niche, it is generally not recommended to specifically farm for this set.

Regarding Main Stats Priority:
Ideally you would be running ATK% Sands when your ER needs are fulfilled. ER needs can be found in the Xingqiu Mastersheet.",,,,,,
,BARBARA,ROLE,EQUIPMENT,,ARTIFACT STATS,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
