,,,,,,,,
,The role that the Character best excels in will be marked with ✩,,,,,,,
,> > Weapons and Artifacts Info < <,,,,,,,
,,,,,,,,
,4 STAR,,,,,,,
,AMBER,ROLE,EQUIPMENT,,ARTIFACT STATS,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,DPS ,"1. Amos' Bow (5✩)
2. Thundering Pulse (5✩)
3. Aqua Simulacra (5✩)
4. Skyward Harp (5✩)
5. Prototype Crescent (4✩)*
6. Sharpshooter's Oath (3✩) [R5] 
7. Windblume Ode (4✩) [R5] 
8. Blackcliff Warbow (4✩)
9. Polar Star (5✩)
10. Hamayumi (4✩)*","1. Wanderer's Troupe (4)
2. Shimenawa's Reminiscence (4)*
3. Crimson Witch of Flames (4)
4. Crimson Witch of Flames (2) +80 EM set (2)
5. Crimson Witch of Flames (2) +18% ATK set (2)
6. +18% ATK set (2) / +18% ATK set (2)","Sands - ATK% / Elemental Mastery
Goblet - Pyro DMG
Circlet - Crit DMG","1. Crit DMG
2. ATK%
3. Elemental Mastery
4. Energy Recharge
5. Flat ATK","1. Normal Attack
2. Burst
3. Skill",
,,"SUPPORT
✩","1. Elegy for the End (5✩)
2. Favonius Warbow (4✩)
3. Sacrificial Bow (4✩)
4. The Viridescent Hunt (4✩)

","1. Noblesse Oblige (4)
2. Instructor (4)*
3. +20% Energy Recharge set (2) +20% Energy Recharge set (2)
4. The Exile (4)","Sands - Energy Recharge / ATK%
Goblet - Pyro DMG
Circlet - Crit Rate / DMG
","1. Energy Recharge
2. Crit Rate / DMG
3. ATK%
4. Elemental Mastery
5. Flat ATK","1. Burst
2. Skill",
,NOTES,"DPS
Amber DPS will be focused on maximizing Charged Shot damage on enemy weak spots as Amber's Ascension 4 Talent increases ATK by 15% for 10s after hitting a weak spot. Crit is also guaranteed when you land your shot on a weak spot so we aim to maximize Crit DMG with little to no dependance on Crit Rate, this could change after [C4].
After [C4], the playstyle catering towards her Skill damage becomes available, with this build you will want to run Crimson Witch of Flames (4) while trying to maintain the 1:2 Crit Ratio for more frequent nukes. This playstyle is safer, more consistent and has more AoE damage to play compared to Charge Shot Amber.

Regarding Weapon Choices:
Prototype Crescent: This bow will beat Skyward Harp if it's [R2+].
Hamayumi: This bow will beat Sharpshooter's Oath [R5] if it's [R2+].

Regarding Artifact Sets:
Shimenawa's Reminiscence (4): At [C4] this set will beat out Wanderer's Troupe (4) for Amber Charged Shot Main DPS.

SUPPORT
Due to her poor scalings, this section is dedicated to a low-investment build that provides utility and shieldbreaking capabilities by abusing her quick Pyro application on her Elemental Burst. Due to her energy generation being extremely poor, her Energy Recharge options are prioritized.

Regarding Artifact Sets:
Instructor (4): This set is preferred over Noblesse Oblige (4) when Amber is used as support in a Hu Tao Vaporize team.",,,,,,
,XIANGLING,ROLE,EQUIPMENT,,ARTIFACT STATS,,TALENT PRIORITY,ABILITY TIPS
,,,WEAPON,ARTIFACT,MAIN STATS,SUBSTATS,,
,,OFF-FIELD DPS ✩,"1. Staff of the Scarlet Sands (5✩) 
2. Staff of Homa (5✩) 
~= Engulfing Lightning (5✩) 
~= ""The Catch"" (4✩) [R5] 
3. Primordial Jade Winged-Spear (5✩) 
~= Skyward Spine (5✩) 
~= Calamity Queller (5✩)
~= Deathmatch (4✩) 
4. Vortex Vanquisher (5✩) 
~= Wavebreaker's Fin (4✩)*
~= Dragon's Bane (4✩)* 
5. Missive Windspear (4✩)
6. Kitain Cross Spear (4✩)*
7. Lithic Spear (4✩)*
8. Favonius Lance (4✩)*
9. Prototype Starglitter (4✩)","1. Emblem of Severed Fate (4)
2. Crimson Witch of Flames (4)*
3. Noblesse Oblige (2) / Crimson Witch of Flames (2) / +18% ATK set (2) / +80 EM set (2) / Emblem of Severed Fate (2) [Choose Two]
4. Noblesse Oblige (4)
5. The Exile (2) Scholar (2)*","Sands - Energy Recharge / ATK% / Elemental Mastery
Goblet - Pyro DMG 
Circlet - Crit Rate / DMG ","1. Energy Recharge
2. Crit Rate / DMG
3. ATK%
4. Elemental Mastery
5. Flat ATK","1. Burst
2. Skill
","A few commonly used teams for pyro Xiangling are:
National Team: Xiangling, Xingqiu, Bennett and a Flex unit (Sucrose/Zhongli/Kazuha/Raiden/Chongyun/etc)
Childe Team: Childe, Xiangling, Bennett and a Flex unit (Sucrose/Zhongli/Venti/Kazuha/etc)
"
